 all D ~ (p/mc)^2/t (sec^-1)
 E(MeV)=  0.1000
  alpha0   Daa         Dap         Dpp
  10.00  0.3397E-04  0.3693E-05  0.4467E-06
  11.00  0.3434E-04  0.4093E-05  0.5441E-06
  12.00  0.3470E-04  0.4498E-05  0.6515E-06
  13.00  0.3508E-04  0.4909E-05  0.7699E-06
  14.00  0.3548E-04  0.5326E-05  0.8983E-06
  15.00  0.3590E-04  0.5746E-05  0.1037E-05
  16.00  0.3633E-04  0.6177E-05  0.1187E-05
  17.00  0.3677E-04  0.6611E-05  0.1348E-05
  18.00  0.3723E-04  0.7047E-05  0.1519E-05
  19.00  0.3772E-04  0.7492E-05  0.1701E-05
  20.00  0.3822E-04  0.7934E-05  0.1897E-05
  21.00  0.3873E-04  0.8384E-05  0.2106E-05
  22.00  0.3927E-04  0.8845E-05  0.2320E-05
